date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:42	29895/29895	---M-Z	200	added ('OK')	application/x-javascript	etag:%2274c7-646b167e-7d7a3d0d2551b316;gz%22	https://www.indonez.com/html-demo/equity/js/utilities.min.js	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/js/utilities.min.js	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:43	4160/4160	---M-Z	200	added ('OK')	application/x-javascript	etag:%221040-6468e8ef-ca72c376fc0a39b9;gz%22	https://www.indonez.com/html-demo/equity/js/config-theme.js	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/js/config-theme.js	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:44	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%223aee-5e631a53-1eb86091323d856e;gz%22	https://www.indonez.com/html-demo/equity/img/favicon.ico	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/favicon.ico	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:45	2897/2897	---M--	200	added ('OK')	image/png	etag:%22b51-5e631d71-28da52eddca51390;;;%22	https://www.indonez.com/html-demo/equity/img/apple-touch-icon.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/apple-touch-icon.png	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:46	1300/1300	---M-Z	200	added ('OK')	image/svg+xml	etag:%22514-63b81773-c1d92a8f5a7efacf;gz%22	https://www.indonez.com/html-demo/equity/img/user/header-logo-Uw3Zp9.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/user/header-logo-Uw3Zp9.svg	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:47	26090/26090	---M-Z	200	added ('OK')	text/html	etag:%2265ea-66c81dd1-7d7a3d0d2551b316;gz%22	https://www.indonez.com/html-demo/equity/homepage2.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/homepage2.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:48	30348/30348	---M-Z	200	added ('OK')	text/html	etag:%22768c-66c81dd3-3cdc8635c63793c0;gz%22	https://www.indonez.com/html-demo/equity/homepage3.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/homepage3.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:49	26053/26053	---M-Z	200	added ('OK')	text/html	etag:%2265c5-66c81dd6-737fe21b986da17a;gz%22	https://www.indonez.com/html-demo/equity/homepage4.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/homepage4.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:50	15887/15887	---M-Z	200	added ('OK')	text/html	etag:%223e0f-66c81ddc-b90e0c7ae70214c0;gz%22	https://www.indonez.com/html-demo/equity/markets.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/markets.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:51	16133/16133	---M-Z	200	added ('OK')	text/html	etag:%223f05-66c81db9-aea32743e7a53cb1;gz%22	https://www.indonez.com/html-demo/equity/about.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/about.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:52	16603/16603	---M-Z	200	added ('OK')	text/html	etag:%2240db-66c81dbb-c591649ece60f9c;gz%22	https://www.indonez.com/html-demo/equity/blog.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/blog.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:53	14434/14434	---M-Z	200	added ('OK')	text/html	etag:%223862-66c81dc6-803f5f94c4bd2d23;gz%22	https://www.indonez.com/html-demo/equity/careers.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/careers.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:54	12183/12183	---M-Z	200	added ('OK')	text/html	etag:%222f97-66c81dc8-f3b6bbfb7bae757d;gz%22	https://www.indonez.com/html-demo/equity/contact.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/contact.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:55	15624/15624	---M-Z	200	added ('OK')	text/html	etag:%223d08-66c81dcc-c6f6a8acbcbe48d7;gz%22	https://www.indonez.com/html-demo/equity/education.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/education.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:56	16444/16444	---M-Z	200	added ('OK')	text/html	etag:%22403c-66c81dcf-ca72c376fc0a39b9;gz%22	https://www.indonez.com/html-demo/equity/help-center.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/help-center.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:57	14740/14740	---M-Z	200	added ('OK')	text/html	etag:%223994-66c81dca-d46b522faa395cb3;gz%22	https://www.indonez.com/html-demo/equity/customers.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/customers.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:58	12791/12791	---M-Z	200	added ('OK')	text/html	etag:%2231f7-66c81ddf-c35f764cb8c81c8;gz%22	https://www.indonez.com/html-demo/equity/roadmap.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/roadmap.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:59	16576/16576	---M-Z	200	added ('OK')	text/html	etag:%2240c0-66c81dda-fda314998a3cc760;gz%22	https://www.indonez.com/html-demo/equity/legal-docs.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/legal-docs.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:04:00	4751/4751	---M-Z	200	added ('OK')	text/html	etag:%22128f-66c81de4-bd7a7ed1c85e6e2f;gz%22	https://www.indonez.com/html-demo/equity/signin.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/signin.html	(from https://www.indonez.com/html-demo/equity/index.html)
13:04:01	68/68	---M--	200	added ('OK')	image/gif	etag:%2244-646b167c-412b9de41b59cd35;;;%22	https://www.indonez.com/html-demo/equity/img/in-lazy.gif	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-lazy.gif	(from https://www.indonez.com/html-demo/equity/index.html)
13:04:02	5484/5484	---M-Z	200	added ('OK')	application/x-javascript	etag:%22156c-63b57965-bfb352609daaee02;gz%22	https://www.indonez.com/html-demo/equity/js/vendors/tradingview-widget.min.js	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/js/vendors/tradingview-widget.min.js	(from https://www.indonez.com/html-demo/equity/index.html)
13:04:03	27570/27570	---M-Z	200	added ('OK')	application/x-javascript	etag:%226bb2-646b167e-af2b147bf66186fb;gz%22	https://www.indonez.com/html-demo/equity/js/vendors/particles.min.js	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/js/vendors/particles.min.js	(from https://www.indonez.com/html-demo/equity/index.html)
13:04:04	2216/2216	---M-Z	200	added ('OK')	application/x-javascript	etag:%228a8-63ba888b-c6f6a8acbcbe48d7;gz%22	https://www.indonez.com/html-demo/equity/js/config-particles.js	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/js/config-particles.js	(from https://www.indonez.com/html-demo/equity/index.html)
13:04:05	383/383	---M-Z	200	added ('OK')	image/svg+xml	etag:%2217f-646b167c-dcd633ebc6f29f0;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-7-symbol-1.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-7-symbol-1.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:06	1501/1501	---M-Z	200	added ('OK')	image/svg+xml	etag:%225dd-646b167c-7fd513c627c8b5fe;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-7-symbol-2.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-7-symbol-2.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:07	1150/1150	---M-Z	200	added ('OK')	image/svg+xml	etag:%2247e-646b167c-6d9213fe5e762497;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-7-symbol-3.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-7-symbol-3.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:08	979/979	---M-Z	200	added ('OK')	image/svg+xml	etag:%223d3-646b167c-8cf8d0ac20c967bc;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-7-symbol-4.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-7-symbol-4.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:09	1814/1814	---M-Z	200	added ('OK')	image/svg+xml	etag:%22716-646b167c-f255b69a3dabe3ca;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-press-1.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-press-1.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:10	4241/4241	---M-Z	200	added ('OK')	image/svg+xml	etag:%221091-646b167c-962d2b9651a552c0;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-press-2.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-press-2.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:11	1698/1698	---M-Z	200	added ('OK')	image/svg+xml	etag:%226a2-646b167c-cbff378fc924749a;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-press-3.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-press-3.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:12	11016/11016	---M-Z	200	added ('OK')	image/svg+xml	etag:%222b08-646b167c-de1aaed385358cde;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-press-4.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-press-4.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:13	2200/2200	---M-Z	200	added ('OK')	image/svg+xml	etag:%22898-646b167c-6df9cc797d85387c;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-press-5.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-press-5.svg	(from https://www.indonez.com/html-demo/equity/homepage2.html)
13:04:14	3172/3172	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c64-646b167c-541a3d6b5f4144c4;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-payment-1.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-payment-1.svg	(from https://www.indonez.com/html-demo/equity/homepage4.html)
13:04:15	457/457	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c9-646b167c-79473cb031d40dc6;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-payment-2.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-payment-2.svg	(from https://www.indonez.com/html-demo/equity/homepage4.html)
13:04:16	979/979	---M-Z	200	added ('OK')	image/svg+xml	etag:%223d3-646b167c-cc30c23006f25932;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-payment-3.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-payment-3.svg	(from https://www.indonez.com/html-demo/equity/homepage4.html)
13:04:17	745/745	---M-Z	200	added ('OK')	image/svg+xml	etag:%222e9-646b167c-5b8b01500913046c;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-payment-4.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-payment-4.svg	(from https://www.indonez.com/html-demo/equity/homepage4.html)
13:04:18	1540/1540	---M-Z	200	added ('OK')	image/svg+xml	etag:%22604-646b167c-5231d46f0455118e;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-payment-5.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-payment-5.svg	(from https://www.indonez.com/html-demo/equity/homepage4.html)
13:04:19	615/615	---M-Z	200	added ('OK')	image/svg+xml	etag:%22267-646b167c-878ade82b8871ea8;gz%22	https://www.indonez.com/html-demo/equity/img/in-equity-payment-6.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-equity-payment-6.svg	(from https://www.indonez.com/html-demo/equity/homepage4.html)
13:04:20	5617/5617	---M--	200	added ('OK')	image/png	etag:%2215f1-646b167d-de2df4533d291e57;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-background-1.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-background-1.png	(from https://www.indonez.com/html-demo/equity/about.html)
13:04:22	115425/115425	---M--	200	added ('OK')	image/png	etag:%221c2e1-646b167d-23eadd64f153a260;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-1.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-1.png	(from https://www.indonez.com/html-demo/equity/about.html)
13:04:22	74349/74349	---M--	200	added ('OK')	image/png	etag:%221226d-646b167d-82c1c28e82f989fb;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-4.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-4.png	(from https://www.indonez.com/html-demo/equity/about.html)
13:04:23	88887/88887	---M--	200	added ('OK')	image/png	etag:%2215b37-646b167d-846d7b05bc087f51;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-2.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-2.png	(from https://www.indonez.com/html-demo/equity/about.html)
13:04:25	190937/190937	---M--	200	added ('OK')	image/jpeg	etag:%222e9d9-63b59931-2c29fc770b3d343a;;;%22	https://www.indonez.com/html-demo/equity/img/user/image-featured-a4DfvV.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/user/image-featured-a4DfvV.jpg	(from https://www.indonez.com/html-demo/equity/blog.html)
13:04:26	18721/18721	---M-Z	200	added ('OK')	text/html	etag:%224921-646b167d-c234d97d559ec76d;gz%22	https://www.indonez.com/html-demo/equity/blog/the-typical-us-household-is-spending-445-more-a.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/blog/the-typical-us-household-is-spending-445-more-a.html	(from https://www.indonez.com/html-demo/equity/blog.html)
13:04:26	1738/1738	---M--	200	added ('OK')	image/jpeg	etag:%226ca-63a59e70-2c362c097464e05a;;;%22	https://www.indonez.com/html-demo/equity/img/user/author-85z9UC.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/user/author-85z9UC.jpg	(from https://www.indonez.com/html-demo/equity/blog.html)
13:04:27	18466/18466	---M-Z	200	added ('OK')	text/html	etag:%224822-646b167d-c35bf42b84d27bdd;gz%22	https://www.indonez.com/html-demo/equity/blog/biden-and-harris-celebrate-kwanzaa-in-social-media.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/blog/biden-and-harris-celebrate-kwanzaa-in-social-media.html	(from https://www.indonez.com/html-demo/equity/blog.html)
13:04:28	18378/18378	---M-Z	200	added ('OK')	text/html	etag:%2247ca-646b167d-845d0047d1c607c9;gz%22	https://www.indonez.com/html-demo/equity/blog/amazons-started-to-deliver-orders-by-drones-in-california.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/blog/amazons-started-to-deliver-orders-by-drones-in-california.html	(from https://www.indonez.com/html-demo/equity/blog.html)
13:04:29	48422/48422	---M--	200	added ('OK')	image/jpeg	etag:%22bd26-646b167d-a8cb8c51821ee773;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-1.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-1.jpg	(from https://www.indonez.com/html-demo/equity/careers.html)
13:04:30	46044/46044	---M--	200	added ('OK')	image/jpeg	etag:%22b3dc-646b167d-1ce199d36a8f3773;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-2.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-2.jpg	(from https://www.indonez.com/html-demo/equity/careers.html)
13:04:31	22431/22431	---M--	200	added ('OK')	image/jpeg	etag:%22579f-646b167d-178cee4f418b20cf;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-3.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-3.jpg	(from https://www.indonez.com/html-demo/equity/careers.html)
13:04:32	23822/23822	---M--	200	added ('OK')	image/jpeg	etag:%225d0e-646b167d-a8f0f2fd06c6aed6;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-4.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-4.jpg	(from https://www.indonez.com/html-demo/equity/careers.html)
13:04:33	42731/42731	---M--	200	added ('OK')	image/jpeg	etag:%22a6eb-646b167d-bc0f6931a2a8e0e3;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-5.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-5.jpg	(from https://www.indonez.com/html-demo/equity/careers.html)
13:04:34	58210/58210	---M--	200	added ('OK')	image/jpeg	etag:%22e362-646b167d-135021e811ac1892;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-6.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-gallery-image-6.jpg	(from https://www.indonez.com/html-demo/equity/careers.html)
13:04:35	34301/34301	---M--	200	added ('OK')	image/jpeg	etag:%2285fd-646b167c-6b43f9adc985f0b;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-card-background-1.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-card-background-1.jpg	(from https://www.indonez.com/html-demo/equity/education.html)
13:04:36	8536/8536	---M--	200	added ('OK')	image/png	etag:%222158-646b167c-4424d7a9b31d8e5a;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-content-10-image.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-content-10-image.png	(from https://www.indonez.com/html-demo/equity/help-center.html)
13:04:38	84970/84970	---M--	200	added ('OK')	image/png	etag:%2214bea-646b167d-937aba53cc6eeb5b;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-7.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-7.png	(from https://www.indonez.com/html-demo/equity/help-center.html)
13:04:39	111285/111285	---M--	200	added ('OK')	image/png	etag:%221b2b5-646b167d-4776236340eaae14;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-8.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-8.png	(from https://www.indonez.com/html-demo/equity/help-center.html)
13:04:41	84962/84962	---M--	200	added ('OK')	image/png	etag:%2214be2-646b167d-3eedbf70d8d758f7;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-6.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-6.png	(from https://www.indonez.com/html-demo/equity/help-center.html)
13:04:41	84350/84350	---M--	200	added ('OK')	image/png	etag:%221497e-646b167d-4c188dc1f17ae24f;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-team-3.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-team-3.png	(from https://www.indonez.com/html-demo/equity/help-center.html)
13:04:42	16058/16058	---M--	200	added ('OK')	image/png	etag:%223eba-646b167d-4c8b5d23eeadbb9a;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-testimoni-2.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-testimoni-2.png	(from https://www.indonez.com/html-demo/equity/customers.html)
13:04:42	1123/1123	---M-Z	200	added ('OK')	image/svg+xml	etag:%22463-646b167c-18fc208ff6771e11;gz%22	https://www.indonez.com/html-demo/equity/img/blockit/in-client-testi-1.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-client-testi-1.svg	(from https://www.indonez.com/html-demo/equity/customers.html)
13:04:43	22254/22254	---M--	200	added ('OK')	image/png	etag:%2256ee-646b167d-de2afab4e2436476;;;%22	https://www.indonez.com/html-demo/equity/img/blockit/in-testimoni-3.png	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-testimoni-3.png	(from https://www.indonez.com/html-demo/equity/customers.html)
13:04:44	839/839	---M-Z	200	added ('OK')	image/svg+xml	etag:%22347-646b167c-1d6709e5d2868002;gz%22	https://www.indonez.com/html-demo/equity/img/blockit/in-client-testi-2.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-client-testi-2.svg	(from https://www.indonez.com/html-demo/equity/customers.html)
13:04:45	710/710	---M-Z	200	added ('OK')	image/svg+xml	etag:%222c6-646b167c-59e2ee3ba61b9531;gz%22	https://www.indonez.com/html-demo/equity/img/blockit/in-client-testi-3.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-client-testi-3.svg	(from https://www.indonez.com/html-demo/equity/customers.html)
13:04:46	994/994	---M-Z	200	added ('OK')	image/svg+xml	etag:%223e2-646b167c-f8a813a15885925d;gz%22	https://www.indonez.com/html-demo/equity/img/blockit/in-client-testi-4.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-client-testi-4.svg	(from https://www.indonez.com/html-demo/equity/customers.html)
13:04:47	1201/1201	---M-Z	200	added ('OK')	image/svg+xml	etag:%224b1-646b167c-340fbd2de6618098;gz%22	https://www.indonez.com/html-demo/equity/img/blockit/in-client-testi-5.svg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/blockit/in-client-testi-5.svg	(from https://www.indonez.com/html-demo/equity/customers.html)
13:04:49	119967/119967	---M--	200	added ('OK')	image/jpeg	etag:%221d49f-646b167c-67039597216d99ae;;;%22	https://www.indonez.com/html-demo/equity/img/in-signin-image.jpg	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/img/in-signin-image.jpg	(from https://www.indonez.com/html-demo/equity/signin.html)
13:04:49	26689/26689	---M-Z	200	added ('OK')	text/html	etag:%226841-66c81dd8-af2b147bf66186fb;gz%22	https://www.indonez.com/html-demo/equity/	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/index-2.html	(from https://www.indonez.com/html-demo/equity/blog/the-typical-us-household-is-spending-445-more-a.html)
